year;week; SMN;SMT;VCI;TCI; VHI
1982; 1; 0.058;258.03; 51.18; 49.16; 50.17;
1982; 2; 0.062;261.39; 55.47; 38.40; 46.94;
1982; 3; 0.061;263.35; 56.51; 32.77; 44.64;
1982; 4; 0.058;264.99; 52.86; 28.74; 40.80;
1982; 5; 0.055;266.32; 45.90; 28.59; 37.25;
1982; 6; 0.053;267.38; 38.56; 30.18; 34.37;
1982; 7; 0.052;268.48; 34.20; 31.02; 32.61;
1982; 8; 0.053;270.04; 32.28; 32.15; 32.22;
1982; 9; 0.053;271.48; 29.64; 35.02; 32.33;
1982;10; 0.053;272.99; 26.45; 37.08; 31.76;
1982;11; 0.059;275.21; 25.11; 34.57; 29.84;
1982;12; 0.070;277.65; 24.79; 36.22; 30.51;
1982;13; 0.082;279.65; 21.83; 40.22; 31.03;
1982;14; 0.094;281.33; 17.42; 46.57; 32.00;
1982;15; 0.104;282.35; 10.55; 59.14; 34.84;
1982;16; 0.126;284.06;  8.54; 68.59; 38.57;
1982;17; 0.159;286.32; 10.16; 70.98; 40.57;
1982;18; 0.200;289.09; 14.83; 63.06; 38.95;
1982;19; 0.249;291.57; 20.34; 52.56; 36.45;
1982;20; 0.296;293.05; 24.60; 49.93; 37.26;
1982;21; 0.334;293.49; 26.46; 54.36; 40.41;
1982;22; 0.363;293.54; 26.65; 59.07; 42.86;
1982;23; 0.380;293.28; 24.70; 65.01; 44.85;
1982;24; 0.385;293.14; 22.12; 69.67; 45.90;
1982;25; 0.390;293.08; 24.09; 73.09; 48.59;
1982;26; 0.392;293.02; 25.60; 75.64; 50.62;
1982;27; 0.394;293.27; 28.68; 74.49; 51.59;
1982;28; 0.393;293.66; 32.19; 70.51; 51.35;
1982;29; 0.396;294.35; 40.69; 61.60; 51.14;
1982;30; 0.396;294.98; 46.24; 52.75; 49.50;
1982;31; 0.387;295.38; 44.48; 46.83; 45.66;
1982;32; 0.377;295.44; 41.58; 45.00; 43.29;
1982;33; 0.370;295.50; 40.89; 41.22; 41.06;
1982;34; 0.363;295.63; 43.07; 33.88; 38.47;
1982;35; 0.355;295.24; 48.76; 29.84; 39.30;
1982;36; 0.341;294.53; 52.42; 25.95; 39.18;
1982;37; 0.319;293.52; 51.02; 23.56; 37.29;
1982;38; 0.296;291.92; 48.11; 24.60; 36.35;
1982;39; 0.269;289.94; 43.93; 28.02; 35.97;
1982;40; 0.241;287.82; 38.14; 31.77; 34.96;
1982;41; 0.212;286.05; 33.28; 26.77; 30.02;
1982;42; 0.190;284.45; 32.84; 23.50; 28.17;
1982;43; 0.165;282.67; 32.61; 22.09; 27.35;
1982;44; 0.142;280.68; 33.07; 17.00; 25.04;
1982;45; 0.116;278.14; 29.78; 17.76; 23.77;
1982;46; 0.093;275.79; 27.17; 18.26; 22.72;
1982;47; 0.077;273.38; 28.48; 20.12; 24.30;
1982;48; 0.065;270.63; 29.30; 25.13; 27.21;
1982;49; 0.056;268.50; 29.48; 27.30; 28.39;
1982;50; 0.049;266.59; 28.04; 27.57; 27.80;
1982;51; 0.047;264.54; 31.79; 28.06; 29.92;
1982;52; 0.044;263.02; 33.42; 30.91; 32.16;
1983; 1; 0.043;262.56; 33.23; 32.42; 32.82;
1983; 2; 0.044;263.47; 35.31; 31.05; 33.18;
1983; 3; 0.046;264.99; 40.46; 27.23; 33.85;
1983; 4; 0.051;266.72; 45.77; 23.29; 34.53;
1983; 5; 0.053;267.56; 44.25; 25.14; 34.69;
1983; 6; 0.051;267.97; 37.48; 28.87; 33.18;
1983; 7; 0.053;269.27; 35.46; 29.17; 32.32;
1983; 8; 0.055;269.93; 33.71; 33.29; 33.50;
1983; 9; 0.058;270.50; 32.89; 39.06; 35.98;
1983;10; 0.067;272.05; 34.76; 40.82; 37.79;
1983;11; 0.078;273.50; 35.20; 40.99; 38.09;
1983;12; 0.093;275.19; 36.80; 45.10; 40.95;
1983;13; 0.115;277.62; 38.66; 47.87; 43.27;
1983;14; 0.139;280.35; 39.81; 50.38; 45.10;
1983;15; 0.175;283.72; 43.72; 49.08; 46.40;
1983;16; 0.210;286.23; 46.08; 51.35; 48.71;
1983;17; 0.248;288.56; 48.35; 51.30; 49.83;
1983;18; 0.289;290.51; 51.74; 49.47; 50.60;
1983;19; 0.327;291.89; 52.58; 49.18; 50.88;
1983;20; 0.357;293.36; 51.51; 46.93; 49.22;
1983;21; 0.378;293.89; 47.27; 50.39; 48.83;
1983;22; 0.394;294.11; 42.58; 53.28; 47.93;
1983;23; 0.403;294.23; 37.64; 55.42; 46.53;
1983;24; 0.394;293.30; 26.70; 67.89; 47.30;
1983;25; 0.384;292.92; 20.34; 74.88; 47.61;
1983;26; 0.382;293.45; 19.40; 70.41; 44.90;
1983;27; 0.375;293.38; 17.18; 73.03; 45.11;
1983;28; 0.361;293.00; 13.46; 78.67; 46.06;
1983;29; 0.348;292.60; 11.96; 83.85; 47.91;
1983;30; 0.337;292.43; 12.72; 84.10; 48.41;
1983;31; 0.341;292.65; 17.55; 80.33; 48.94;
1983;32; 0.344;292.96; 21.37; 75.89; 48.63;
1983;33; 0.345;293.64; 24.98; 65.11; 45.04;
1983;34; 0.349;294.24; 33.49; 51.57; 42.53;
1983;35; 0.351;294.80; 46.07; 35.45; 40.76;
1983;36; 0.341;294.47; 52.58; 27.41; 40.00;
1983;37; 0.321;293.16; 52.24; 27.66; 39.95;
1983;38; 0.301;291.81; 50.70; 25.86; 38.28;
1983;39; 0.282;290.31; 50.47; 24.52; 37.50;
1983;40; 0.254;288.36; 45.16; 25.84; 35.50;
1983;41; 0.217;285.89; 35.78; 28.48; 32.13;
1983;42; 0.181;283.33; 28.04; 35.46; 31.75;
1983;43; 0.150;281.00; 24.04; 37.25; 30.65;
1983;44; 0.126;278.08; 22.98; 37.59; 30.28;
1983;45; 0.104;274.99; 21.76; 38.69; 30.22;
1983;46; 0.082;272.07; 19.40; 39.25; 29.32;
1983;47; 0.067;269.80; 20.32; 37.81; 29.07;
1983;48; 0.057;268.53; 22.34; 34.51; 28.42;
1983;49; 0.049;267.34; 21.55; 32.27; 26.91;
1983;50; 0.042;266.42; 20.10; 28.28; 24.19;
1983;51; 0.039;265.51; 21.97; 23.96; 22.97;
1983;52; 0.040;264.92; 27.78; 23.37; 25.58;
1984; 1; 0.041;264.33; 31.53; 25.58; 28.55;
1984; 2; 0.039;262.63; 30.14; 33.83; 31.98;
1984; 3; 0.036;260.68; 29.64; 42.41; 36.03;
1984; 4; 0.033;259.33; 27.67; 48.21; 37.94;
1984; 5; 0.030;258.17; 23.49; 54.88; 39.19;
1984; 6; 0.028;257.17; 19.30; 62.01; 40.65;
1984; 7; 0.028;256.47; 17.49; 68.88; 43.19;
1984; 8; 0.028;256.75; 16.33; 75.69; 46.01;
1984; 9; 0.028;258.23; 15.32; 80.23; 47.78;
1984;10; 0.031;260.23; 13.97; 80.55; 47.26;
1984;11; 0.039;263.69; 14.28; 74.85; 44.57;
1984;12; 0.052;268.34; 15.28; 69.22; 42.25;
1984;13; 0.068;273.53; 15.13; 63.63; 39.38;
1984;14; 0.091;278.37; 15.75; 59.88; 37.81;
1984;15; 0.118;282.17; 17.10; 58.43; 37.76;
1984;16; 0.149;285.51; 19.10; 56.52; 37.81;
1984;17; 0.185;288.36; 21.62; 52.68; 37.15;
1984;18; 0.229;290.23; 26.94; 51.54; 39.24;
1984;19; 0.271;291.37; 29.67; 53.79; 41.73;
1984;20; 0.309;291.82; 30.85; 61.32; 46.09;
1984;21; 0.345;292.04; 32.02; 68.47; 50.25;
1984;22; 0.371;291.76; 31.18; 76.33; 53.75;
1984;23; 0.389;291.12; 30.41; 86.14; 58.28;
1984;24; 0.408;291.18; 36.47; 90.16; 63.31;
1984;25; 0.421;291.50; 43.84; 90.84; 67.34;
1984;26; 0.424;291.49; 46.31; 93.28; 69.80;
1984;27; 0.423;291.72; 47.66; 93.08; 70.37;
1984;28; 0.422;292.17; 51.39; 89.54; 70.46;
1984;29; 0.417;292.75; 54.09; 83.06; 68.57;
1984;30; 0.403;293.13; 50.40; 76.67; 63.54;
1984;31; 0.382;293.12; 41.08; 75.26; 58.17;
1984;32; 0.364;292.96; 33.52; 76.03; 54.78;
1984;33; 0.349;292.61; 27.45; 77.57; 52.51;
1984;34; 0.335;292.45; 25.35; 72.97; 49.16;
1984;35; 0.312;291.67; 22.95; 69.59; 46.27;
1984;36; 0.286;290.62; 22.50; 63.43; 42.97;
1984;37; 0.262;289.59; 21.89; 58.19; 40.04;
1984;38; 0.236;288.06; 17.84; 59.16; 38.50;
1984;39; 0.210;286.18; 13.70; 64.73; 39.22;
1984;40; 0.190;284.41; 11.52; 68.75; 40.13;
1984;41; 0.175;281.88; 12.64; 74.01; 43.32;
1984;42; 0.161;279.97; 16.50; 71.82; 44.16;
1984;43; 0.140;277.88; 17.89; 66.13; 42.01;
1984;44; 0.116;274.78; 16.66; 64.06; 40.36;
1984;45; 0.098;269.56; 18.03; 74.80; 46.42;
1984;46; 0.084;265.19; 20.60; 77.72; 49.16;
1984;47; 0.075;262.37; 27.01; 74.15; 50.58;
1984;48; 0.073;260.61; 35.48; 69.77; 52.62;
1984;49; 0.069;261.90; 40.52; 55.84; 48.18;
1984;50;-1.000; -1.00; -1.00; -1.00; -1.00;
1984;51;-1.000; -1.00; -1.00; -1.00; -1.00;
1984;52;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 1;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 2;-1.000; -1.00; -1.00; -1.00; -1.00;
