year;week; SMN;SMT;VCI;TCI; VHI
1982; 1; 0.039;253.63; 46.46; 64.79; 55.63;
1982; 2; 0.036;254.77; 44.56; 58.74; 51.65;
1982; 3; 0.034;255.90; 41.94; 53.61; 47.78;
1982; 4; 0.033;258.11; 39.17; 46.92; 43.05;
1982; 5; 0.032;259.53; 35.80; 45.81; 40.80;
1982; 6; 0.030;259.61; 29.19; 52.02; 40.60;
1982; 7; 0.029;259.86; 22.41; 57.01; 39.71;
1982; 8; 0.030;262.12; 20.15; 55.42; 37.78;
1982; 9; 0.030;264.21; 16.69; 56.13; 36.41;
1982;10; 0.031;267.10; 14.45; 56.80; 35.63;
1982;11; 0.037;270.40; 16.00; 58.35; 37.17;
1982;12; 0.047;274.44; 19.51; 55.31; 37.41;
1982;13; 0.062;279.13; 24.40; 48.06; 36.23;
1982;14; 0.074;283.03; 24.81; 40.24; 32.53;
1982;15; 0.088;286.10; 24.79; 37.15; 30.97;
1982;16; 0.111;288.48; 26.55; 38.43; 32.49;
1982;17; 0.139;290.50; 27.48; 43.39; 35.44;
1982;18; 0.173;292.16; 28.83; 52.71; 40.77;
1982;19; 0.220;293.85; 33.25; 60.73; 46.99;
1982;20; 0.273;295.62; 40.39; 61.15; 50.77;
1982;21; 0.320;297.03; 47.29; 59.47; 53.38;
1982;22; 0.355;297.30; 50.56; 63.30; 56.93;
1982;23; 0.372;297.46; 49.74; 68.12; 58.93;
1982;24; 0.374;297.15; 47.80; 79.14; 63.47;
1982;25; 0.370;296.81; 48.04; 89.27; 68.65;
1982;26; 0.369;297.14; 51.17; 90.73; 70.95;
1982;27; 0.359;296.86; 47.96; 92.78; 70.37;
1982;28; 0.353;296.86; 50.04; 91.78; 70.91;
1982;29; 0.350;296.91; 53.05; 91.77; 72.41;
1982;30; 0.349;297.01; 57.11; 91.22; 74.16;
1982;31; 0.343;297.18; 59.78; 89.36; 74.57;
1982;32; 0.336;297.73; 62.19; 82.49; 72.34;
1982;33; 0.329;298.00; 63.24; 77.14; 70.19;
1982;34; 0.321;298.10; 65.28; 71.61; 68.45;
1982;35; 0.309;297.86; 67.22; 65.59; 66.40;
1982;36; 0.292;297.04; 66.28; 58.61; 62.44;
1982;37; 0.268;295.72; 62.46; 52.32; 57.39;
1982;38; 0.244;294.05; 59.58; 49.12; 54.35;
1982;39; 0.214;292.40; 53.22; 43.05; 48.14;
1982;40; 0.182;290.22; 43.80; 41.54; 42.67;
1982;41; 0.151;287.74; 36.22; 38.45; 37.33;
1982;42; 0.127;285.32; 32.75; 33.07; 32.91;
1982;43; 0.107;282.36; 31.88; 32.32; 32.10;
1982;44; 0.092;279.73; 31.04; 28.28; 29.66;
1982;45; 0.077;276.59; 29.30; 28.13; 28.72;
1982;46; 0.066;272.77; 28.27; 31.30; 29.78;
1982;47; 0.058;268.91; 27.84; 35.40; 31.62;
1982;48; 0.050;264.92; 26.86; 40.11; 33.49;
1982;49; 0.045;261.54; 26.18; 43.38; 34.78;
1982;50; 0.043;258.19; 27.23; 48.50; 37.87;
1982;51; 0.042;255.83; 32.90; 55.58; 44.24;
1982;52; 0.042;254.58; 40.80; 60.76; 50.78;
1983; 1; 0.041;254.39; 51.83; 60.98; 56.41;
1983; 2; 0.040;255.07; 51.36; 56.70; 54.03;
1983; 3; 0.039;256.06; 50.17; 51.82; 51.00;
1983; 4; 0.038;256.95; 46.49; 50.94; 48.71;
1983; 5; 0.036;258.97; 41.43; 47.30; 44.37;
1983; 6; 0.035;260.57; 35.09; 47.54; 41.32;
