year;week; SMN;SMT;VCI;TCI; VHI
1982; 1; 0.044;255.36; 47.41; 61.06; 54.24;
1982; 2; 0.042;257.39; 46.06; 51.17; 48.61;
1982; 3; 0.041;259.09; 43.91; 45.57; 44.74;
1982; 4; 0.039;260.69; 42.24; 41.78; 42.01;
1982; 5; 0.037;261.76; 37.54; 41.50; 39.52;
1982; 6; 0.034;262.60; 31.24; 41.38; 36.31;
1982; 7; 0.035;264.27; 26.51; 38.67; 32.59;
1982; 8; 0.039;266.27; 24.83; 36.99; 30.91;
1982; 9; 0.043;268.19; 24.24; 36.63; 30.43;
1982;10; 0.051;270.55; 24.32; 36.89; 30.60;
1982;11; 0.065;273.59; 27.53; 35.62; 31.58;
1982;12; 0.083;276.59; 32.35; 37.12; 34.74;
1982;13; 0.097;278.86; 33.85; 41.88; 37.87;
1982;14; 0.107;280.63; 31.56; 47.89; 39.72;
1982;15; 0.117;282.04; 25.90; 57.24; 41.57;
1982;16; 0.137;283.37; 23.42; 67.75; 45.59;
1982;17; 0.167;285.03; 23.14; 80.12; 51.63;
1982;18; 0.214;287.38; 28.74; 86.44; 57.59;
1982;19; 0.276;290.06; 37.46; 84.97; 61.22;
1982;20; 0.328;292.16; 43.36; 82.01; 62.68;
1982;21; 0.367;293.25; 47.66; 82.68; 65.17;
1982;22; 0.390;293.65; 47.25; 83.41; 65.33;
1982;23; 0.397;293.76; 41.81; 85.85; 63.83;
1982;24; 0.392;293.47; 30.46; 91.71; 61.08;
1982;25; 0.379;293.28; 20.88; 95.33; 58.10;
1982;26; 0.370;293.29; 17.72; 96.07; 56.90;
1982;27; 0.360;293.44; 15.18; 95.02; 55.10;
1982;28; 0.356;293.83; 17.55; 92.59; 55.07;
1982;29; 0.355;294.18; 22.71; 92.53; 57.62;
1982;30; 0.355;294.50; 29.14; 92.84; 60.99;
1982;31; 0.354;294.90; 33.77; 90.18; 61.97;
1982;32; 0.350;295.29; 37.38; 84.48; 60.93;
1982;33; 0.348;295.49; 44.00; 78.78; 61.39;
1982;34; 0.345;295.09; 50.82; 74.97; 62.89;
1982;35; 0.342;294.56; 58.93; 68.52; 63.72;
1982;36; 0.334;294.14; 64.50; 55.94; 60.22;
1982;37; 0.316;292.98; 65.09; 48.70; 56.89;
1982;38; 0.294;291.28; 63.83; 49.69; 56.76;
1982;39; 0.265;289.44; 58.97; 48.78; 53.88;
1982;40; 0.229;287.23; 51.61; 47.96; 49.79;
1982;41; 0.194;284.63; 44.68; 48.84; 46.76;
1982;42; 0.164;282.38; 40.94; 45.53; 43.23;
1982;43; 0.141;279.84; 41.76; 44.15; 42.95;
1982;44; 0.125;277.93; 44.12; 32.28; 38.20;
1982;45; 0.108;276.18; 43.07; 23.71; 33.39;
1982;46; 0.093;273.99; 42.44; 22.47; 32.46;
1982;47; 0.075;270.94; 38.00; 25.60; 31.80;
1982;48; 0.064;267.76; 36.21; 32.89; 34.55;
1982;49; 0.057;264.59; 34.85; 42.03; 38.44;
1982;50; 0.051;261.23; 33.95; 49.07; 41.51;
1982;51; 0.047;258.73; 36.65; 53.71; 45.18;
1982;52; 0.045;257.58; 40.48; 54.33; 47.41;
1983; 1; 0.043;258.16; 44.87; 49.10; 46.99;
1983; 2; 0.041;258.91; 44.09; 44.59; 44.34;
1983; 3; 0.041;259.60; 44.14; 43.27; 43.70;
1983; 4; 0.041;259.95; 43.31; 44.69; 44.00;
1983; 5; 0.039;260.36; 39.67; 46.98; 43.32;
1983; 6; 0.036;260.61; 32.36; 48.64; 40.50;
1983; 7; 0.035;261.59; 26.17; 47.94; 37.06;
1983; 8; 0.038;263.21; 23.93; 47.42; 35.68;
1983; 9; 0.041;265.50; 23.39; 45.70; 34.54;
1983;10; 0.050;268.78; 23.94; 43.15; 33.54;
1983;11; 0.060;273.04; 25.26; 37.62; 31.44;
1983;12; 0.075;276.78; 28.31; 36.14; 32.23;
1983;13; 0.098;280.77; 34.64; 32.99; 33.82;
1983;14; 0.124;284.44; 40.17; 28.20; 34.18;
1983;15; 0.155;287.42; 43.48; 25.58; 34.53;
1983;16; 0.182;289.54; 43.17; 26.69; 34.93;
1983;17; 0.215;291.93; 43.87; 27.16; 35.51;
1983;18; 0.254;294.00; 46.04; 28.97; 37.50;
1983;19; 0.293;295.17; 45.97; 35.24; 40.61;
1983;20; 0.330;296.20; 45.34; 39.07; 42.20;
1983;21; 0.356;296.93; 43.04; 41.53; 42.29;
1983;22; 0.372;296.96; 38.15; 47.41; 42.78;
1983;23; 0.379;296.75; 31.03; 54.23; 42.63;
1983;24; 0.375;296.56; 19.74; 59.55; 39.65;
1983;25; 0.369;296.89; 14.51; 58.06; 36.29;
1983;26; 0.364;297.35; 14.10; 54.17; 34.13;
1983;27; 0.358;297.59; 14.35; 51.66; 33.00;
1983;28; 0.345;297.68; 11.83; 51.49; 31.66;
1983;29; 0.326;297.67;  8.22; 54.90; 31.56;
1983;30; 0.310;297.47;  7.81; 61.25; 34.53;
1983;31; 0.304;297.06;  9.73; 67.47; 38.60;
1983;32; 0.303;296.81; 13.57; 68.59; 41.08;
1983;33; 0.304;296.69; 21.20; 66.04; 43.62;
1983;34; 0.300;296.51; 27.87; 59.12; 43.50;
1983;35; 0.297;296.45; 35.50; 46.58; 41.04;
1983;36; 0.283;295.36; 37.63; 41.36; 39.49;
1983;37; 0.264;294.10; 37.80; 34.37; 36.09;
1983;38; 0.242;292.53; 36.58; 33.18; 34.88;
1983;39; 0.217;289.64; 34.16; 46.29; 40.23;
1983;40; 0.194;286.98; 32.96; 51.06; 42.01;
1983;41; 0.168;284.13; 30.25; 54.79; 42.52;
1983;42; 0.144;281.32; 29.40; 56.69; 43.04;
1983;43; 0.121;278.41; 28.71; 56.59; 42.65;
1983;44; 0.098;274.87; 26.26; 55.85; 41.05;
1983;45; 0.081;270.61; 23.17; 61.67; 42.42;
1983;46; 0.068;266.86; 22.72; 65.07; 43.90;
1983;47; 0.060;264.02; 23.83; 64.30; 44.07;
1983;48; 0.057;261.82; 28.83; 64.39; 46.61;
1983;49; 0.052;260.48; 30.37; 62.19; 46.28;
1983;50; 0.052;259.14; 34.71; 58.83; 46.77;
1983;51; 0.051;257.46; 40.13; 59.47; 49.80;
1983;52; 0.049;255.05; 44.98; 65.52; 55.25;
1984; 1; 0.048;253.57; 51.32; 68.83; 60.07;
1984; 2; 0.047;252.92; 52.29; 70.05; 61.17;
1984; 3; 0.048;253.12; 52.48; 70.22; 61.35;
1984; 4; 0.048;254.16; 51.64; 67.75; 59.69;
1984; 5; 0.047;255.76; 47.63; 64.03; 55.83;
1984; 6; 0.045;256.09; 41.20; 64.02; 52.61;
1984; 7; 0.045;256.33; 34.39; 64.53; 49.46;
1984; 8; 0.047;256.79; 30.63; 67.42; 49.02;
1984; 9; 0.050;258.86; 28.61; 66.05; 47.33;
1984;10; 0.054;263.08; 26.26; 61.21; 43.73;
1984;11; 0.061;267.91; 25.69; 55.35; 40.52;
1984;12; 0.074;272.92; 27.92; 51.13; 39.53;
1984;13; 0.092;278.18; 31.46; 44.32; 37.89;
1984;14; 0.114;283.41; 35.16; 33.04; 34.10;
1984;15; 0.139;287.19; 36.19; 26.72; 31.45;
1984;16; 0.166;289.67; 36.00; 26.05; 31.02;
1984;17; 0.196;292.34; 36.01; 24.40; 30.21;
1984;18; 0.231;294.24; 36.73; 26.92; 31.82;
1984;19; 0.268;295.31; 35.47; 33.92; 34.70;
1984;20; 0.302;295.93; 32.94; 41.90; 37.42;
1984;21; 0.334;296.23; 32.74; 49.63; 41.18;
1984;22; 0.358;296.07; 30.87; 57.36; 44.12;
1984;23; 0.374;295.59; 28.31; 66.81; 47.56;
1984;24; 0.386;295.29; 27.27; 73.28; 50.27;
1984;25; 0.396;295.34; 31.84; 74.65; 53.25;
1984;26; 0.400;295.55; 35.94; 73.39; 54.67;
1984;27; 0.397;295.87; 36.81; 70.31; 53.56;
1984;28; 0.392;296.14; 37.43; 68.40; 52.91;
1984;29; 0.385;296.35; 38.23; 69.34; 53.78;
1984;30; 0.373;296.47; 38.22; 71.88; 55.05;
1984;31; 0.359;296.41; 36.25; 74.21; 55.23;
1984;32; 0.346;296.34; 35.12; 73.29; 54.20;
1984;33; 0.333;295.95; 35.59; 73.64; 54.61;
1984;34; 0.319;295.47; 36.94; 70.43; 53.69;
1984;35; 0.297;294.55; 35.33; 68.40; 51.86;
1984;36; 0.272;293.47; 32.23; 63.90; 48.06;
1984;37; 0.248;292.54; 29.58; 54.12; 41.85;
1984;38; 0.221;291.15; 25.68; 51.18; 38.43;
1984;39; 0.194;288.95; 22.05; 54.84; 38.45;
1984;40; 0.172;286.25; 21.35; 59.89; 40.62;
1984;41; 0.155;283.93; 23.39; 56.96; 40.18;
1984;42; 0.140;281.92; 27.02; 50.46; 38.74;
1984;43; 0.121;279.60; 29.18; 46.66; 37.92;
1984;44; 0.103;277.13; 29.85; 39.00; 34.43;
1984;45; 0.092;274.82; 31.81; 33.47; 32.64;
1984;46; 0.077;272.34; 30.76; 32.35; 31.55;
1984;47; 0.066;270.64; 30.44; 26.94; 28.69;
1984;48; 0.059;269.63; 31.85; 22.12; 26.99;
1984;49; 0.055;269.60; 34.25; 16.74; 25.50;
1984;50;-1.000; -1.00; -1.00; -1.00; -1.00;
1984;51;-1.000; -1.00; -1.00; -1.00; -1.00;
1984;52;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 1;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 2;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 3;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 4;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 5;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 6;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 7;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 8;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 9; 0.031;267.57; 16.61; 38.71; 27.66;
1985;10; 0.030;268.47; 12.45; 43.84; 28.14;
1985;11; 0.034;270.32; 11.43; 47.12; 29.28;
1985;12; 0.043;273.36; 12.66; 49.44; 31.05;
1985;13; 0.059;277.76; 15.93; 46.18; 31.05;
1985;14; 0.083;282.38; 21.10; 38.43; 29.77;
1985;15; 0.115;286.25; 25.90; 32.54; 29.22;
1985;16; 0.153;289.40; 30.83; 28.00; 29.42;
1985;17; 0.196;291.83; 36.36; 28.34; 32.35;
1985;18; 0.240;293.77; 41.00; 31.27; 36.14;
1985;19; 0.286;295.58; 43.85; 31.77; 37.81;
1985;20; 0.323;296.03; 43.20; 41.46; 42.33;
1985;21; 0.357;296.12; 45.08; 51.29; 48.18;
1985;22; 0.382;296.18; 45.05; 56.60; 50.83;
1985;23; 0.389;295.49; 38.57; 68.06; 53.31;
1985;24; 0.390;294.56; 30.64; 80.87; 55.76;
1985;25; 0.392;294.32; 29.93; 85.18; 57.55;
1985;26; 0.392;294.31; 31.16; 86.18; 58.67;
1985;27; 0.385;294.30; 29.31; 86.70; 58.01;
1985;28; 0.376;294.39; 28.46; 87.02; 57.74;
1985;29; 0.375;294.95; 32.80; 84.57; 58.69;
1985;30; 0.373;295.61; 37.73; 81.14; 59.44;
1985;31; 0.372;296.40; 42.21; 74.45; 58.33;
1985;32; 0.366;296.78; 45.05; 68.85; 56.95;
1985;33; 0.357;296.97; 47.90; 63.21; 55.56;
1985;34; 0.346;296.72; 50.58; 57.02; 53.80;
1985;35; 0.328;295.78; 51.19; 54.43; 52.81;
1985;36; 0.305;294.04; 49.00; 56.94; 52.97;
1985;37; 0.277;291.77; 44.29; 63.46; 53.87;
1985;38; 0.248;289.74; 39.22; 69.23; 54.23;
1985;39; 0.220;287.68; 35.19; 71.12; 53.15;
1985;40; 0.195;285.17; 32.74; 73.73; 53.24;
1985;41; 0.177;282.76; 35.23; 72.32; 53.77;
1985;42; 0.163;280.89; 40.10; 62.47; 51.29;
1985;43; 0.147;279.04; 45.40; 51.46; 48.43;
1985;44; 0.134;276.75; 50.20; 41.41; 45.81;
1985;45; 0.113;273.98; 46.13; 38.91; 42.52;
1985;46; 0.086;271.10; 36.96; 39.95; 38.45;
1985;47; 0.062;267.74; 25.95; 43.70; 34.82;
1985;48; 0.047;263.53; 19.69; 54.96; 37.32;
1985;49; 0.040;258.95; 17.10; 68.84; 42.97;
1985;50; 0.034;255.17; 14.12; 76.12; 45.12;
1985;51; 0.029;252.47; 14.87; 80.42; 47.65;
1985;52; 0.027;250.71; 17.72; 82.45; 50.08;
1986; 1; 0.025;248.93; 21.75; 86.61; 54.18;
1986; 2; 0.025;248.79; 23.40; 85.83; 54.62;
1986; 3; 0.025;251.91; 25.29; 74.79; 50.04;
1986; 4; 0.026;255.25; 26.10; 63.44; 44.77;
1986; 5; 0.027;257.76; 26.14; 56.87; 41.50;
1986; 6; 0.027;260.08; 23.77; 50.72; 37.25;
1986; 7; 0.027;262.70; 19.04; 44.44; 31.74;
1986; 8; 0.027;265.85; 16.48; 38.88; 27.68;
1986; 9; 0.030;268.74; 16.40; 35.27; 25.84;
1986;10; 0.034;271.71; 15.09; 33.60; 24.34;
1986;11; 0.045;276.15; 17.33; 26.94; 22.13;
1986;12; 0.063;281.10; 22.38; 19.45; 20.91;
1986;13; 0.085;285.08; 27.92; 14.04; 20.98;
1986;14; 0.112;287.25; 34.17; 14.67; 24.42;
1986;15; 0.142;289.30; 37.37; 15.70; 26.53;
1986;16; 0.173;291.42; 39.07; 15.31; 27.19;
1986;17; 0.212;292.72; 42.56; 21.75; 32.16;
1986;18; 0.258;294.10; 47.89; 28.53; 38.21;
1986;19; 0.299;295.70; 48.98; 30.61; 39.79;
1986;20; 0.339;297.37; 50.06; 27.23; 38.64;
1986;21; 0.373;298.53; 52.56; 24.42; 38.49;
1986;22; 0.397;299.24; 53.17; 23.34; 38.26;
1986;23; 0.407;299.64; 48.45; 24.25; 36.35;
1986;24; 0.405;299.71; 39.53; 26.93; 33.23;
1986;25; 0.400;299.76; 33.99; 28.37; 31.18;
1986;26; 0.389;299.58; 28.67; 30.94; 29.81;
1986;27; 0.379;299.34; 26.39; 33.32; 29.86;
1986;28; 0.372;299.43; 26.45; 32.93; 29.69;
1986;29; 0.365;299.82; 27.98; 31.78; 29.88;
1986;30; 0.359;300.22; 31.31; 32.02; 31.66;
1986;31; 0.350;300.43; 31.69; 32.45; 32.07;
1986;32; 0.337;300.10; 30.36; 34.64; 32.50;
1986;33; 0.323;299.72; 30.49; 34.65; 32.57;
1986;34; 0.302;298.78; 28.19; 35.08; 31.64;
1986;35; 0.281;297.84; 26.83; 31.49; 29.16;
1986;36; 0.255;296.16; 22.79; 32.69; 27.74;
1986;37; 0.231;293.71; 20.16; 39.82; 29.99;
1986;38; 0.209;291.04; 18.87; 52.86; 35.86;
1986;39; 0.187;288.43; 17.73; 61.83; 39.78;
1986;40; 0.163;285.87; 16.11; 64.94; 40.53;
1986;41; 0.139;283.20; 14.93; 66.25; 40.59;
1986;42; 0.114;280.29; 13.32; 67.78; 40.55;
1986;43; 0.088;277.22; 10.42; 66.80; 38.61;
1986;44; 0.066;273.85;  7.16; 63.69; 35.43;
1986;45; 0.053;271.14;  5.17; 58.35; 31.76;
1986;46; 0.043;269.16;  4.67; 51.61; 28.14;
1986;47; 0.037;267.57;  5.78; 44.62; 25.20;
1986;48; 0.034;266.40;  7.75; 39.57; 23.66;
1986;49; 0.030;263.93;  7.85; 44.53; 26.19;
1986;50; 0.029;260.34;  8.79; 52.10; 30.45;
1986;51; 0.029;256.54; 14.40; 62.64; 38.52;
