year;week; SMN;SMT;VCI;TCI; VHI
1982; 1; 0.058;255.01; 28.71; 79.90; 54.31;
1982; 2; 0.060;257.27; 34.43; 69.49; 51.96;
1982; 3; 0.060;260.15; 34.82; 58.08; 46.45;
1982; 4; 0.058;262.81; 31.57; 49.08; 40.33;
1982; 5; 0.057;264.93; 27.23; 45.82; 36.53;
1982; 6; 0.059;266.43; 25.31; 44.89; 35.10;
1982; 7; 0.063;268.27; 25.56; 41.34; 33.45;
1982; 8; 0.074;270.83; 29.42; 36.06; 32.74;
1982; 9; 0.086;273.18; 32.93; 32.89; 32.91;
1982;10; 0.098;275.08; 35.47; 33.47; 34.47;
1982;11; 0.113;277.05; 37.13; 35.30; 36.21;
1982;12; 0.125;279.08; 35.20; 40.40; 37.80;
1982;13; 0.138;280.93; 31.05; 44.57; 37.81;
1982;14; 0.151;282.75; 24.24; 48.40; 36.32;
1982;15; 0.162;284.21; 15.80; 53.60; 34.70;
1982;16; 0.180;285.59; 10.05; 60.41; 35.23;
1982;17; 0.203;287.10;  7.83; 66.57; 37.20;
1982;18; 0.233;288.50;  9.13; 69.59; 39.36;
1982;19; 0.277;290.01; 16.86; 68.25; 42.56;
1982;20; 0.334;291.48; 31.64; 62.45; 47.05;
1982;21; 0.375;292.27; 39.36; 61.44; 50.40;
1982;22; 0.402;292.68; 43.23; 59.97; 51.60;
1982;23; 0.415;292.88; 44.22; 57.95; 51.08;
1982;24; 0.414;292.73; 38.50; 60.30; 49.40;
1982;25; 0.407;292.41; 32.60; 65.12; 48.86;
1982;26; 0.400;292.43; 28.81; 65.11; 46.96;
1982;27; 0.399;292.86; 30.08; 61.04; 45.56;
1982;28; 0.399;293.58; 32.72; 55.95; 44.33;
1982;29; 0.399;294.28; 36.37; 52.29; 44.33;
1982;30; 0.395;294.86; 38.55; 49.25; 43.90;
1982;31; 0.383;295.15; 34.91; 43.26; 39.08;
1982;32; 0.369;295.01; 29.01; 41.45; 35.23;
1982;33; 0.359;295.01; 27.24; 36.81; 32.03;
1982;34; 0.348;294.77; 27.03; 31.73; 29.38;
1982;35; 0.338;294.27; 30.67; 25.04; 27.85;
1982;36; 0.324;293.76; 33.80; 16.06; 24.93;
1982;37; 0.302;292.63; 31.95; 12.46; 22.21;
1982;38; 0.280;290.91; 30.34; 17.93; 24.14;
1982;39; 0.258;288.75; 28.91; 26.80; 27.85;
1982;40; 0.235;286.62; 26.87; 33.37; 30.12;
1982;41; 0.214;284.99; 26.70; 31.77; 29.24;
1982;42; 0.196;283.20; 29.08; 32.23; 30.65;
1982;43; 0.178;281.20; 31.57; 33.65; 32.61;
1982;44; 0.161;279.17; 34.49; 30.97; 32.73;
1982;45; 0.140;277.15; 34.21; 28.40; 31.30;
1982;46; 0.124;275.88; 36.00; 24.21; 30.10;
1982;47; 0.109;274.09; 36.93; 25.56; 31.24;
1982;48; 0.095;271.71; 35.72; 30.74; 33.23;
1982;49; 0.085;269.48; 34.59; 33.82; 34.21;
1982;50; 0.076;267.52; 31.15; 35.27; 33.21;
1982;51; 0.071;265.54; 33.57; 38.35; 35.96;
1982;52; 0.069;264.49; 36.92; 40.49; 38.70;
1983; 1; 0.068;264.61; 39.45; 36.55; 38.00;
1983; 2; 0.071;265.35; 45.55; 31.33; 38.44;
1983; 3; 0.072;266.14; 46.50; 29.35; 37.92;
1983; 4; 0.071;266.56; 41.83; 32.18; 37.00;
1983; 5; 0.065;265.21; 32.75; 44.99; 38.87;
1983; 6; 0.056;264.34; 23.42; 53.95; 38.69;
1983; 7; 0.055;264.83; 20.68; 56.09; 38.39;
1983; 8; 0.054;264.95; 19.32; 62.01; 40.67;
1983; 9; 0.057;265.60; 18.77; 68.82; 43.79;
1983;10; 0.070;267.21; 22.09; 72.39; 47.24;
1983;11; 0.085;269.69; 24.01; 73.21; 48.61;
1983;12; 0.103;272.20; 24.83; 77.14; 50.98;
1983;13; 0.126;275.26; 25.40; 79.37; 52.39;
1983;14; 0.154;278.60; 25.80; 79.30; 52.55;
1983;15; 0.187;281.45; 28.95; 78.59; 53.77;
1983;16; 0.219;284.28; 31.20; 73.71; 52.45;
