year;week; SMN;SMT;VCI;TCI; VHI
1982; 1; 0.082;261.61; 60.13; 39.44; 49.79;
1982; 2; 0.089;264.42; 68.43; 29.29; 48.86;
1982; 3; 0.094;265.79; 73.04; 24.94; 48.99;
1982; 4; 0.097;267.88; 73.86; 18.16; 46.01;
1982; 5; 0.098;269.03; 67.80; 18.82; 43.31;
1982; 6; 0.098;269.95; 60.29; 22.53; 41.41;
1982; 7; 0.098;271.30; 54.40; 22.27; 38.33;
1982; 8; 0.100;272.61; 51.31; 22.66; 36.98;
1982; 9; 0.101;273.78; 48.19; 24.28; 36.24;
1982;10; 0.101;275.04; 43.94; 27.18; 35.56;
1982;11; 0.109;276.49; 41.27; 28.12; 34.70;
1982;12; 0.118;277.98; 38.47; 35.25; 36.86;
1982;13; 0.126;279.36; 32.06; 42.02; 37.04;
1982;14; 0.136;280.72; 23.88; 50.93; 37.41;
1982;15; 0.146;281.68; 14.75; 66.44; 40.59;
1982;16; 0.170;283.13; 13.33; 76.89; 45.11;
1982;17; 0.205;285.13; 15.78; 80.27; 48.02;
1982;18; 0.259;287.55; 25.57; 75.84; 50.71;
1982;19; 0.314;289.69; 35.23; 68.30; 51.77;
1982;20; 0.359;291.21; 41.55; 64.39; 52.97;
1982;21; 0.391;291.73; 44.95; 65.69; 55.32;
1982;22; 0.409;291.86; 45.25; 66.99; 56.12;
1982;23; 0.419;292.03; 43.63; 67.18; 55.40;
1982;24; 0.421;292.15; 39.86; 68.30; 54.08;
1982;25; 0.419;292.15; 35.90; 71.53; 53.71;
1982;26; 0.416;292.16; 33.47; 73.31; 53.39;
1982;27; 0.419;292.56; 34.81; 71.87; 53.34;
1982;28; 0.424;293.11; 40.54; 70.31; 55.42;
1982;29; 0.430;293.65; 50.07; 67.75; 58.91;
1982;30; 0.429;293.95; 54.21; 67.08; 60.65;
1982;31; 0.426;294.25; 55.71; 62.81; 59.26;
1982;32; 0.417;294.13; 53.62; 61.93; 57.77;
1982;33; 0.412;294.00; 55.74; 57.81; 56.78;
1982;34; 0.409;293.98; 60.46; 46.88; 53.67;
1982;35; 0.401;293.31; 63.38; 40.72; 52.05;
1982;36; 0.389;292.38; 66.18; 36.69; 51.44;
1982;37; 0.371;291.33; 66.61; 34.07; 50.34;
1982;38; 0.352;289.65; 66.30; 38.04; 52.17;
1982;39; 0.327;287.71; 64.77; 41.19; 52.98;
1982;40; 0.294;285.90; 59.09; 39.87; 49.48;
1982;41; 0.258;284.18; 50.49; 35.26; 42.88;
1982;42; 0.231;282.47; 48.73; 31.70; 40.21;
1982;43; 0.204;280.43; 47.80; 34.16; 40.98;
1982;44; 0.179;278.50; 47.91; 27.07; 37.49;
1982;45; 0.149;276.35; 42.27; 24.07; 33.17;
1982;46; 0.126;274.18; 41.79; 23.43; 32.61;
1982;47; 0.107;272.13; 43.25; 24.75; 34.00;
1982;48; 0.086;269.36; 37.06; 32.35; 34.71;
1982;49; 0.070;267.07; 28.50; 36.69; 32.60;
1982;50; 0.060;265.58; 23.68; 36.10; 29.89;
1982;51; 0.057;264.27; 25.53; 34.51; 30.02;
1982;52; 0.054;263.49; 25.99; 33.31; 29.65;
1983; 1; 0.053;263.45; 29.98; 31.33; 30.65;
1983; 2; 0.054;264.11; 31.44; 30.00; 30.72;
1983; 3; 0.056;265.06; 35.82; 27.50; 31.66;
1983; 4; 0.060;266.09; 39.67; 25.72; 32.69;
1983; 5; 0.060;266.21; 36.94; 30.89; 33.92;
1983; 6; 0.057;266.33; 30.78; 37.35; 34.07;
1983; 7; 0.059;266.99; 29.02; 39.93; 34.47;
1983; 8; 0.063;267.61; 29.13; 43.44; 36.29;
1983; 9; 0.069;268.53; 30.51; 46.30; 38.40;
1983;10; 0.082;270.36; 33.39; 47.07; 40.23;
1983;11; 0.098;272.61; 35.60; 45.70; 40.65;
1983;12; 0.116;275.13; 37.29; 48.55; 42.92;
1983;13; 0.137;277.67; 37.79; 50.90; 44.35;
