year;week; SMN;SMT;VCI;TCI; VHI
1982; 1; 0.058;263.38; 54.56; 35.05; 44.80;
1982; 2; 0.055;263.91; 54.21; 31.28; 42.74;
1982; 3; 0.054;264.72; 54.20; 28.58; 41.39;
1982; 4; 0.053;265.79; 51.42; 28.50; 39.96;
1982; 5; 0.051;266.54; 45.52; 31.78; 38.65;
1982; 6; 0.048;267.21; 37.57; 36.37; 36.97;
1982; 7; 0.046;268.41; 29.51; 40.29; 34.90;
1982; 8; 0.049;270.41; 26.63; 41.33; 33.98;
1982; 9; 0.049;272.50; 23.56; 42.14; 32.85;
1982;10; 0.053;274.83; 22.51; 43.59; 33.05;
1982;11; 0.065;277.42; 25.79; 42.96; 34.37;
1982;12; 0.080;280.76; 30.07; 39.78; 34.92;
1982;13; 0.100;284.40; 34.52; 36.24; 35.38;
1982;14; 0.116;287.51; 36.31; 32.11; 34.21;
1982;15; 0.131;289.53; 36.05; 33.19; 34.62;
1982;16; 0.155;291.33; 36.99; 36.57; 36.78;
1982;17; 0.185;293.02; 37.93; 43.90; 40.92;
1982;18; 0.216;294.18; 38.33; 57.41; 47.87;
1982;19; 0.251;295.47; 38.50; 66.97; 52.74;
1982;20; 0.286;296.78; 40.90; 67.57; 54.24;
1982;21; 0.319;297.87; 46.21; 68.01; 57.11;
1982;22; 0.337;298.37; 47.56; 70.98; 59.27;
1982;23; 0.340;298.38; 45.75; 75.06; 60.41;
1982;24; 0.335;298.20; 43.24; 82.16; 62.70;
1982;25; 0.324;298.16; 38.38; 88.06; 63.22;
1982;26; 0.319;298.53; 37.42; 87.66; 62.54;
1982;27; 0.309;298.78; 34.77; 86.13; 60.45;
1982;28; 0.300;299.06; 35.26; 81.90; 58.58;
1982;29; 0.297;299.47; 38.91; 77.27; 58.09;
1982;30; 0.296;299.89; 44.73; 72.59; 58.66;
1982;31; 0.289;300.11; 48.21; 69.21; 58.71;
1982;32; 0.279;300.57; 49.37; 63.65; 56.51;
1982;33; 0.267;300.85; 47.93; 59.95; 53.94;
1982;34; 0.256;301.02; 46.46; 56.24; 51.35;
1982;35; 0.240;300.56; 43.15; 53.75; 48.45;
1982;36; 0.223;299.47; 39.93; 49.93; 44.93;
1982;37; 0.204;298.21; 35.87; 44.01; 39.94;
1982;38; 0.186;296.43; 33.80; 43.21; 38.50;
1982;39; 0.167;294.67; 31.94; 41.91; 36.93;
1982;40; 0.145;292.56; 27.15; 40.21; 33.68;
1982;41; 0.123;289.99; 22.62; 37.79; 30.20;
1982;42; 0.107;287.52; 21.47; 32.69; 27.08;
1982;43; 0.093;284.67; 22.27; 32.17; 27.22;
1982;44; 0.082;281.98; 22.17; 28.31; 25.24;
1982;45; 0.070;279.25; 21.08; 27.59; 24.34;
1982;46; 0.061;275.82; 20.40; 32.99; 26.70;
1982;47; 0.053;272.16; 19.77; 39.77; 29.77;
1982;48; 0.046;268.01; 18.16; 47.21; 32.69;
1982;49; 0.041;264.40; 17.61; 52.66; 35.13;
1982;50; 0.038;261.09; 18.86; 58.78; 38.82;
