year;week; SMN;SMT;VCI;TCI; VHI
1982; 1; 0.045;261.14; 36.73; 41.73; 39.23;
1982; 2; 0.041;262.63; 36.52; 35.05; 35.78;
1982; 3; 0.041;263.84; 36.56; 30.75; 33.65;
1982; 4; 0.038;264.73; 33.54; 28.63; 31.08;
1982; 5; 0.034;264.77; 29.73; 30.46; 30.09;
1982; 6; 0.033;265.51; 26.56; 32.82; 29.69;
1982; 7; 0.033;266.59; 23.51; 35.56; 29.54;
1982; 8; 0.035;267.65; 22.53; 39.01; 30.77;
1982; 9; 0.036;268.90; 20.89; 43.90; 32.40;
1982;10; 0.039;270.55; 17.80; 48.82; 33.31;
1982;11; 0.052;273.52; 19.57; 46.11; 32.84;
1982;12; 0.067;277.29; 22.63; 42.58; 32.60;
1982;13; 0.079;280.01; 24.14; 42.56; 33.35;
1982;14; 0.089;282.20; 23.53; 45.82; 34.68;
1982;15; 0.097;283.70; 20.37; 56.80; 38.59;
1982;16; 0.118;285.36; 20.31; 69.82; 45.07;
1982;17; 0.145;287.17; 21.65; 82.61; 52.13;
1982;18; 0.183;289.66; 25.91; 85.72; 55.81;
1982;19; 0.227;292.27; 29.22; 83.87; 56.55;
1982;20; 0.265;293.88; 30.78; 80.68; 55.73;
1982;21; 0.295;294.53; 30.83; 81.66; 56.25;
1982;22; 0.315;294.79; 27.39; 82.54; 54.97;
1982;23; 0.324;294.53; 20.75; 85.82; 53.29;
1982;24; 0.332;294.71; 18.76; 87.20; 52.98;
1982;25; 0.336;294.70; 20.49; 90.91; 55.70;
1982;26; 0.338;294.63; 23.41; 93.30; 58.36;
1982;27; 0.336;294.74; 25.36; 93.29; 59.33;
1982;28; 0.335;294.94; 30.10; 91.70; 60.90;
1982;29; 0.340;295.44; 38.20; 89.07; 63.64;
1982;30; 0.339;295.90; 44.83; 85.08; 64.96;
1982;31; 0.333;296.39; 47.77; 79.12; 63.44;
1982;32; 0.327;296.96; 51.10; 72.24; 61.67;
1982;33; 0.321;297.23; 55.16; 68.04; 61.60;
1982;34; 0.313;297.08; 58.61; 65.73; 62.17;
1982;35; 0.305;296.81; 64.13; 59.03; 61.58;
1982;36; 0.295;296.50; 67.79; 45.90; 56.84;
1982;37; 0.278;295.71; 66.96; 34.80; 50.88;
1982;38; 0.259;294.39; 64.57; 29.33; 46.95;
1982;39; 0.236;292.73; 58.82; 26.36; 42.59;
1982;40; 0.204;290.42; 49.03; 27.91; 38.47;
1982;41; 0.172;287.68; 40.60; 30.67; 35.64;
1982;42; 0.146;284.93; 36.84; 31.62; 34.23;
1982;43; 0.127;282.39; 35.89; 31.59; 33.74;
1982;44; 0.112;280.36; 35.41; 23.14; 29.28;
1982;45; 0.096;278.34; 33.23; 18.77; 26.00;
1982;46; 0.081;275.75; 31.30; 20.84; 26.07;
1982;47; 0.065;271.90; 27.64; 31.03; 29.34;
1982;48; 0.054;267.86; 25.93; 41.88; 33.90;
1982;49; 0.047;264.30; 25.92; 49.23; 37.58;
1982;50; 0.039;261.09; 22.46; 54.10; 38.28;
1982;51; 0.036;258.69; 23.33; 56.61; 39.97;
1982;52; 0.034;257.75; 23.37; 55.32; 39.35;
1983; 1; 0.032;257.69; 24.46; 53.41; 38.93;
1983; 2; 0.029;257.89; 25.29; 51.04; 38.16;
1983; 3; 0.030;257.78; 27.03; 50.45; 38.74;
1983; 4; 0.032;258.11; 29.00; 48.97; 38.99;
1983; 5; 0.034;259.36; 29.51; 46.66; 38.09;
1983; 6; 0.033;259.89; 27.05; 49.23; 38.14;
1983; 7; 0.034;261.24; 24.52; 51.12; 37.82;
1983; 8; 0.039;263.23; 24.37; 52.24; 38.31;
1983; 9; 0.045;266.50; 25.54; 51.52; 38.53;
1983;10; 0.055;270.75; 25.46; 48.40; 36.93;
1983;11; 0.066;275.57; 26.27; 39.44; 32.86;
1983;12; 0.081;280.25; 28.88; 32.40; 30.64;
1983;13; 0.102;285.11; 34.68; 23.81; 29.25;
1983;14; 0.126;289.06; 39.37; 17.54; 28.45;
1983;15; 0.149;291.91; 40.85; 15.91; 28.38;
1983;16; 0.172;293.76; 40.66; 18.72; 29.69;
1983;17; 0.198;295.47; 40.85; 22.20; 31.53;
1983;18; 0.229;297.08; 42.19; 25.48; 33.83;
1983;19; 0.260;297.73; 41.77; 34.47; 38.12;
1983;20; 0.287;298.43; 39.64; 38.80; 39.22;
1983;21; 0.308;299.21; 37.30; 39.30; 38.30;
1983;22; 0.325;299.54; 32.90; 41.22; 37.06;
1983;23; 0.335;299.25; 26.99; 45.84; 36.42;
1983;24; 0.334;298.73; 20.20; 52.94; 36.57;
1983;25; 0.330;298.69; 17.60; 56.84; 37.22;
1983;26; 0.326;298.61; 17.26; 59.63; 38.44;
1983;27; 0.317;298.40; 15.92; 62.25; 39.09;
1983;28; 0.298;297.74; 12.60; 67.86; 40.23;
1983;29; 0.276;297.07;  9.88; 74.20; 42.04;
1983;30; 0.251;296.15;  8.80; 81.49; 45.15;
1983;31; 0.242;295.58; 10.58; 84.64; 47.61;
1983;32; 0.244;295.61; 15.03; 82.99; 49.01;
1983;33; 0.251;295.94; 22.61; 79.01; 50.81;
1983;34; 0.257;296.37; 31.49; 72.04; 51.76;
