year;week; SMN;SMT;VCI;TCI; VHI
1982; 1; 0.052;260.36; 45.91; 38.80; 42.35;
1982; 2; 0.053;262.33; 47.76; 31.24; 39.50;
1982; 3; 0.053;263.85; 49.07; 26.77; 37.92;
1982; 4; 0.051;265.36; 46.70; 23.50; 35.10;
1982; 5; 0.048;265.66; 41.86; 26.34; 34.10;
1982; 6; 0.047;266.54; 36.76; 29.23; 33.00;
1982; 7; 0.046;267.83; 32.25; 30.87; 31.56;
1982; 8; 0.049;269.28; 30.38; 32.31; 31.35;
1982; 9; 0.050;270.69; 28.23; 35.28; 31.75;
1982;10; 0.054;272.65; 24.97; 37.97; 31.47;
1982;11; 0.067;275.38; 26.36; 35.17; 30.77;
1982;12; 0.082;278.01; 27.19; 36.31; 31.75;
1982;13; 0.093;279.87; 25.59; 40.70; 33.15;
1982;14; 0.106;281.55; 21.95; 45.90; 33.93;
1982;15; 0.118;282.55; 15.26; 60.22; 37.74;
1982;16; 0.143;284.03; 13.13; 74.71; 43.92;
1982;17; 0.178;286.08; 15.20; 84.69; 49.95;
1982;18; 0.235;288.80; 25.43; 84.52; 54.98;
1982;19; 0.291;291.54; 33.81; 77.42; 55.61;
1982;20; 0.335;293.19; 37.68; 70.88; 54.28;
1982;21; 0.366;293.72; 37.86; 71.88; 54.87;
1982;22; 0.384;293.63; 34.15; 75.49; 54.82;
1982;23; 0.392;293.53; 28.70; 78.23; 53.46;
1982;24; 0.397;293.58; 27.13; 80.80; 53.97;
1982;25; 0.398;293.32; 27.40; 86.41; 56.91;
1982;26; 0.397;293.20; 27.75; 89.49; 58.62;
1982;27; 0.397;293.54; 29.77; 89.28; 59.52;
1982;28; 0.395;293.87; 34.49; 88.84; 61.66;
1982;29; 0.395;294.22; 40.50; 87.55; 64.03;
1982;30; 0.390;294.48; 44.21; 86.07; 65.14;
1982;31; 0.384;294.90; 45.35; 81.32; 63.33;
1982;32; 0.379;295.37; 47.54; 73.56; 60.55;
1982;33; 0.375;295.50; 51.78; 66.57; 59.17;
1982;34; 0.368;295.38; 55.48; 60.06; 57.77;
1982;35; 0.362;295.05; 61.07; 50.85; 55.96;
1982;36; 0.351;294.51; 66.20; 40.38; 53.29;
1982;37; 0.331;293.64; 67.67; 32.32; 49.99;
1982;38; 0.312;292.31; 68.40; 29.46; 48.93;
1982;39; 0.285;290.49; 64.55; 30.49; 47.52;
1982;40; 0.249;288.13; 54.82; 34.85; 44.84;
1982;41; 0.210;285.59; 44.69; 35.83; 40.26;
1982;42; 0.172;283.17; 36.37; 34.99; 35.68;
1982;43; 0.145;281.02; 34.88; 33.60; 34.24;
1982;44; 0.124;279.29; 34.88; 21.74; 28.31;
1982;45; 0.103;277.54; 31.70; 15.55; 23.63;
1982;46; 0.086;275.42; 31.56; 15.43; 23.49;
1982;47; 0.070;272.44; 28.81; 22.18; 25.49;
1982;48; 0.059;269.15; 27.77; 31.98; 29.88;
1982;49; 0.050;266.11; 24.65; 39.84; 32.24;
1982;50; 0.043;263.14; 22.75; 44.89; 33.82;
1982;51; 0.043;260.81; 28.53; 45.98; 37.26;
1982;52; 0.042;259.98; 31.74; 43.69; 37.72;
1983; 1; 0.040;259.95; 32.33; 39.87; 36.10;
1983; 2; 0.039;260.20; 32.10; 38.46; 35.28;
1983; 3; 0.040;260.12; 34.72; 39.40; 37.06;
1983; 4; 0.043;260.15; 37.69; 40.81; 39.25;
1983; 5; 0.043;260.28; 37.28; 43.69; 40.48;
1983; 6; 0.042;259.98; 32.97; 50.16; 41.56;
1983; 7; 0.043;260.71; 29.93; 53.80; 41.87;
1983; 8; 0.047;262.42; 29.60; 55.08; 42.34;
1983; 9; 0.055;265.33; 31.13; 53.66; 42.40;
1983;10; 0.067;269.14; 32.47; 50.74; 41.60;
1983;11; 0.081;273.46; 34.22; 42.56; 38.39;
1983;12; 0.101;277.59; 37.16; 37.86; 37.51;
1983;13; 0.126;282.14; 42.65; 30.93; 36.79;
1983;14; 0.154;286.03; 46.02; 23.58; 34.80;
1983;15; 0.183;288.98; 47.12; 20.84; 33.98;
1983;16; 0.214;290.98; 46.61; 24.13; 35.37;
1983;17; 0.250;292.88; 48.07; 26.44; 37.26;
1983;18; 0.288;294.37; 50.40; 30.65; 40.53;
1983;19; 0.328;295.28; 51.68; 38.02; 44.85;
1983;20; 0.358;295.95; 49.82; 42.17; 45.99;
1983;21; 0.381;296.38; 46.29; 44.95; 45.62;
1983;22; 0.399;296.50; 43.25; 47.91; 45.58;
1983;23; 0.408;296.16; 38.71; 53.80; 46.26;
1983;24; 0.404;295.60; 31.03; 61.93; 46.48;
1983;25; 0.401;295.77; 28.24; 62.66; 45.45;
1983;26; 0.397;296.03; 27.00; 61.00; 44.00;
1983;27; 0.389;295.99; 24.75; 63.36; 44.05;
1983;28; 0.370;295.81; 20.48; 67.62; 44.05;
1983;29; 0.348;295.66; 15.48; 71.59; 43.53;
1983;30; 0.326;295.48; 12.47; 75.30; 43.89;
1983;31; 0.318;295.21; 13.52; 78.01; 45.76;
1983;32; 0.321;295.13; 18.46; 76.23; 47.35;
1983;33; 0.322;295.04; 24.97; 71.76; 48.37;
1983;34; 0.323;295.01; 31.84; 64.40; 48.12;
1983;35; 0.327;295.12; 42.98; 50.01; 46.50;
1983;36; 0.318;294.39; 49.23; 41.78; 45.50;
1983;37; 0.302;293.35; 52.08; 36.15; 44.12;
1983;38; 0.284;292.10; 53.61; 32.52; 43.07;
1983;39; 0.264;290.09; 53.07; 36.61; 44.84;
1983;40; 0.246;287.95; 53.29; 38.15; 45.72;
1983;41; 0.222;285.73; 52.54; 35.05; 43.80;
1983;42; 0.197;283.16; 52.00; 36.13; 44.06;
1983;43; 0.170;280.46; 50.29; 39.71; 45.00;
1983;44; 0.145;277.34; 48.23; 38.32; 43.27;
1983;45; 0.123;274.34; 45.80; 37.25; 41.53;
1983;46; 0.102;271.94; 43.48; 35.61; 39.55;
1983;47; 0.087;269.03; 43.25; 40.08; 41.66;
