year;week; SMN;SMT;VCI;TCI; VHI
1982; 1; 0.058;258.46; 38.52; 48.16; 43.34;
1982; 2; 0.059;259.85; 38.77; 42.93; 40.85;
1982; 3; 0.057;260.39; 36.06; 43.27; 39.66;
1982; 4; 0.056;261.45; 35.21; 41.82; 38.52;
1982; 5; 0.051;260.89; 31.81; 48.70; 40.26;
1982; 6; 0.046;261.00; 26.34; 53.79; 40.07;
1982; 7; 0.045;261.95; 22.47; 57.29; 39.88;
1982; 8; 0.046;263.66; 20.65; 57.90; 39.27;
1982; 9; 0.050;266.46; 20.35; 52.29; 36.32;
1982;10; 0.058;269.68; 21.32; 45.32; 33.32;
1982;11; 0.073;272.79; 25.28; 38.29; 31.78;
1982;12; 0.092;275.30; 29.29; 37.81; 33.55;
1982;13; 0.106;277.71; 29.37; 38.93; 34.15;
1982;14; 0.119;280.06; 26.48; 41.20; 33.84;
1982;15; 0.132;281.63; 19.50; 51.57; 35.53;
1982;16; 0.154;283.47; 15.64; 62.30; 38.97;
1982;17; 0.181;285.49; 12.99; 72.94; 42.96;
1982;18; 0.223;287.67; 16.13; 74.68; 45.40;
1982;19; 0.271;289.58; 19.02; 72.22; 45.62;
1982;20; 0.316;291.11; 21.90; 69.80; 45.85;
1982;21; 0.351;291.89; 23.13; 71.07; 47.10;
1982;22; 0.378;292.34; 23.62; 70.32; 46.97;
1982;23; 0.395;292.53; 22.19; 72.99; 47.59;
1982;24; 0.402;292.41; 19.64; 79.12; 49.38;
1982;25; 0.403;292.24; 17.98; 85.81; 51.89;
1982;26; 0.403;292.05; 18.19; 89.39; 53.79;
1982;27; 0.404;292.23; 20.30; 88.88; 54.59;
1982;28; 0.408;292.77; 27.47; 86.16; 56.81;
1982;29; 0.413;293.32; 36.77; 84.04; 60.40;
1982;30; 0.414;293.47; 43.81; 84.27; 64.04;
1982;31; 0.414;293.67; 48.15; 81.61; 64.88;
1982;32; 0.405;293.71; 47.31; 78.41; 62.86;
1982;33; 0.399;293.60; 49.19; 71.96; 60.58;
1982;34; 0.394;293.28; 52.06; 62.48; 57.27;
1982;35; 0.393;292.71; 59.19; 53.07; 56.13;
1982;36; 0.390;292.00; 67.34; 43.41; 55.38;
1982;37; 0.376;290.92; 72.53; 38.03; 55.28;
1982;38; 0.364;289.37; 77.89; 37.62; 57.76;
1982;39; 0.342;287.69; 78.18; 35.61; 56.90;
1982;40; 0.312;285.97; 75.17; 31.81; 53.49;
1982;41; 0.280;284.05; 71.95; 29.24; 50.60;
1982;42; 0.249;282.18; 68.10; 27.70; 47.90;
1982;43; 0.221;279.75; 67.75; 29.60; 48.68;
1982;44; 0.196;277.71; 68.93; 22.81; 45.87;
1982;45; 0.167;276.31; 65.74; 15.30; 40.52;
1982;46; 0.141;274.31; 61.66; 13.76; 37.71;
