year;week; SMN;SMT;VCI;TCI; VHI
1982; 1; 0.050;248.56; 13.93; 95.85; 54.89;
1982; 2; 0.045;250.73; 11.47; 95.17; 53.32;
1982; 3; 0.042;253.71; 10.03; 89.40; 49.72;
1982; 4; 0.038;256.67;  7.20; 81.26; 44.23;
1982; 5; 0.036;259.98;  5.79; 71.91; 38.85;
1982; 6; 0.036;263.15;  6.20; 64.11; 35.15;
1982; 7; 0.044;266.49;  9.08; 58.46; 33.77;
1982; 8; 0.056;270.40; 12.60; 51.26; 31.93;
1982; 9; 0.073;274.68; 16.85; 43.66; 30.25;
1982;10; 0.096;279.05; 22.35; 36.43; 29.39;
1982;11; 0.114;281.90; 22.99; 37.51; 30.25;
1982;12; 0.136;284.49; 23.48; 37.69; 30.58;
1982;13; 0.158;286.45; 21.30; 33.94; 27.62;
1982;14; 0.179;287.13; 15.95; 41.80; 28.88;
1982;15; 0.197;287.38; 10.35; 53.54; 31.95;
1982;16; 0.223;287.74;  8.16; 65.55; 36.86;
1982;17; 0.256;288.77;  7.52; 71.34; 39.43;
1982;18; 0.292;289.87;  8.97; 72.79; 40.88;
1982;19; 0.340;291.34; 17.33; 63.22; 40.28;
1982;20; 0.377;292.82; 24.92; 50.29; 37.60;
1982;21; 0.403;293.80; 28.37; 45.05; 36.71;
1982;22; 0.416;294.57; 27.86; 43.05; 35.46;
1982;23; 0.417;294.91; 26.35; 44.71; 35.53;
1982;24; 0.413;294.67; 25.06; 50.50; 37.78;
1982;25; 0.416;294.83; 28.10; 50.93; 39.51;
1982;26; 0.420;295.14; 30.44; 51.26; 40.85;
1982;27; 0.423;295.15; 32.00; 58.72; 45.36;
1982;28; 0.428;295.20; 37.59; 64.44; 51.01;
1982;29; 0.439;295.49; 45.45; 64.64; 55.04;
1982;30; 0.446;295.76; 50.81; 63.98; 57.40;
1982;31; 0.444;295.78; 50.76; 64.59; 57.68;
1982;32; 0.444;295.81; 52.07; 63.86; 57.96;
1982;33; 0.445;295.80; 54.79; 60.43; 57.61;
1982;34; 0.433;295.48; 52.97; 56.69; 54.83;
1982;35; 0.418;295.29; 51.12; 46.52; 48.82;
1982;36; 0.407;295.20; 52.32; 29.22; 40.77;
1982;37; 0.386;294.75; 48.67; 17.10; 32.88;
1982;38; 0.365;293.86; 45.45;  9.99; 27.72;
1982;39; 0.340;292.67; 42.09;  5.64; 23.86;
1982;40; 0.309;290.95; 37.69;  6.17; 21.93;
1982;41; 0.286;288.71; 39.14;  8.91; 24.03;
1982;42; 0.266;286.64; 43.93; 12.64; 28.28;
1982;43; 0.244;284.37; 48.89; 23.15; 36.02;
1982;44; 0.218;282.05; 51.00; 27.76; 39.38;
1982;45; 0.195;279.93; 52.18; 28.45; 40.32;
1982;46; 0.174;277.99; 53.34; 24.85; 39.09;
1982;47; 0.149;275.25; 49.66; 26.72; 38.19;
1982;48; 0.127;272.76; 45.56; 28.57; 37.06;
1982;49; 0.111;269.69; 42.90; 33.00; 37.95;
1982;50; 0.093;265.58; 36.10; 40.79; 38.44;
1982;51; 0.077;261.99; 29.07; 47.06; 38.07;
1982;52; 0.065;258.94; 22.95; 55.79; 39.37;
1983; 1; 0.054;257.58; 17.06; 62.78; 39.92;
1983; 2; 0.053;257.72; 17.37; 67.79; 42.58;
1983; 3; 0.058;258.95; 21.27; 68.65; 44.96;
1983; 4; 0.067;261.71; 26.92; 61.49; 44.20;
1983; 5; 0.079;264.78; 34.08; 53.06; 43.57;
1983; 6; 0.094;267.50; 41.80; 47.26; 44.53;
1983; 7; 0.110;269.90; 48.16; 45.07; 46.61;
1983; 8; 0.120;271.28; 49.29; 48.35; 48.82;
1983; 9; 0.134;272.96; 50.45; 53.68; 52.06;
1983;10; 0.142;274.39; 47.32; 64.69; 56.00;
1983;11; 0.151;275.70; 41.67; 78.18; 59.93;
1983;12; 0.164;277.56; 36.78; 86.90; 61.84;
1983;13; 0.188;279.51; 34.85; 90.64; 62.74;
1983;14; 0.217;281.53; 33.20; 93.21; 63.21;
1983;15; 0.252;283.79; 35.28; 89.60; 62.44;
1983;16; 0.288;285.50; 37.54; 89.61; 63.58;
1983;17; 0.322;287.53; 37.86; 85.41; 61.64;
1983;18; 0.354;289.50; 38.28; 77.05; 57.66;
1983;19; 0.378;290.96; 36.61; 67.33; 51.97;
1983;20; 0.401;292.74; 37.28; 51.17; 44.23;
1983;21; 0.415;293.72; 35.43; 45.54; 40.48;
1983;22; 0.422;294.37; 31.97; 44.91; 38.44;
1983;23; 0.423;294.91; 29.41; 44.70; 37.05;
1983;24; 0.408;294.67; 21.92; 50.19; 36.05;
1983;25; 0.397;294.66; 17.11; 52.58; 34.84;
1983;26; 0.395;294.89; 15.69; 53.84; 34.76;
1983;27; 0.389;294.75; 12.21; 63.47; 37.84;
1983;28; 0.378;294.35; 10.02; 75.25; 42.64;
1983;29; 0.372;294.04; 10.19; 83.09; 46.64;
1983;30; 0.366;293.97;  9.65; 87.40; 48.53;
1983;31; 0.370;294.25; 12.54; 84.80; 48.67;
1983;32; 0.371;294.73; 15.54; 78.16; 46.85;
1983;33; 0.376;295.36; 19.86; 65.97; 42.92;
1983;34; 0.380;295.65; 25.51; 53.70; 39.61;
1983;35; 0.374;295.70; 28.75; 39.71; 34.23;
1983;36; 0.361;295.19; 29.06; 28.91; 28.98;
1983;37; 0.334;294.01; 22.90; 27.52; 25.21;
1983;38; 0.311;292.52; 18.91; 29.00; 23.96;
1983;39; 0.293;290.53; 18.93; 34.30; 26.62;
1983;40; 0.263;287.79; 15.77; 46.12; 30.94;
1983;41; 0.230;285.39; 12.25; 50.53; 31.39;
1983;42; 0.197;283.29;  9.79; 52.88; 31.34;
1983;43; 0.161;280.87;  6.54; 58.32; 32.43;
1983;44; 0.134;277.94;  5.64; 62.24; 33.94;
1983;45; 0.112;274.98;  5.01; 62.54; 33.78;
1983;46; 0.094;272.00;  5.51; 61.06; 33.28;
1983;47; 0.080;269.87;  8.06; 56.31; 32.18;
1983;48; 0.067;268.29;  8.49; 49.89; 29.19;
1983;49; 0.058;266.13;  8.76; 48.00; 28.38;
1983;50; 0.054;264.00;  9.57; 46.59; 28.08;
1983;51; 0.052;262.39; 11.76; 45.23; 28.49;
1983;52; 0.054;261.12; 15.41; 47.53; 31.47;
1984; 1; 0.053;259.04; 16.10; 57.08; 36.59;
1984; 2; 0.051;257.55; 16.58; 67.95; 42.26;
1984; 3; 0.051;256.83; 16.74; 76.03; 46.39;
1984; 4; 0.052;257.23; 16.57; 77.96; 47.26;
1984; 5; 0.056;258.57; 18.89; 76.83; 47.86;
1984; 6; 0.060;261.18; 20.98; 71.97; 46.47;
1984; 7; 0.067;266.05; 23.12; 60.46; 41.79;
1984; 8; 0.079;272.45; 25.47; 42.14; 33.80;
1984; 9; 0.092;277.79; 27.50; 27.68; 27.59;
1984;10; 0.107;280.83; 28.23; 25.86; 27.05;
1984;11; 0.121;283.10; 26.91; 29.52; 28.21;
1984;12; 0.140;285.44; 25.37; 30.48; 27.93;
1984;13; 0.161;287.33; 22.58; 26.42; 24.50;
1984;14; 0.189;288.37; 20.45; 29.96; 25.20;
1984;15; 0.213;289.17; 17.52; 34.63; 26.07;
1984;16; 0.241;289.97; 16.08; 41.22; 28.65;
1984;17; 0.271;290.60; 14.64; 50.99; 32.82;
1984;18; 0.299;290.97; 12.80; 59.87; 36.34;
1984;19; 0.321;290.98; 10.14; 66.74; 38.44;
1984;20; 0.340;291.14;  9.55; 68.05; 38.80;
1984;21; 0.361;291.56; 10.88; 68.19; 39.54;
1984;22; 0.383;291.67; 14.75; 74.21; 44.48;
1984;23; 0.393;291.39; 17.18; 84.12; 50.65;
1984;24; 0.403;291.52; 22.85; 85.62; 54.23;
1984;25; 0.411;291.83; 27.07; 84.19; 55.63;
1984;26; 0.415;291.91; 28.88; 87.95; 58.41;
1984;27; 0.420;292.33; 30.61; 93.11; 61.86;
1984;28; 0.419;292.68; 32.09; 96.00; 64.05;
1984;29; 0.419;293.10; 34.22; 94.87; 64.55;
1984;30; 0.424;293.63; 38.34; 92.01; 65.18;
1984;31; 0.422;293.89; 38.53; 89.68; 64.11;
1984;32; 0.418;294.09; 38.03; 86.50; 62.27;
1984;33; 0.408;293.76; 35.17; 87.40; 61.28;
1984;34; 0.399;293.26; 34.53; 87.00; 60.77;
1984;35; 0.380;292.53; 30.98; 86.38; 58.68;
1984;36; 0.355;291.81; 26.04; 81.29; 53.66;
1984;37; 0.332;290.66; 22.21; 78.33; 50.27;
1984;38; 0.313;289.58; 20.63; 72.06; 46.34;
1984;39; 0.299;288.50; 23.24; 61.29; 42.27;
1984;40; 0.282;287.00; 26.07; 55.65; 40.86;
1984;41; 0.264;285.47; 29.69; 49.00; 39.35;
1984;42; 0.242;283.86; 33.49; 46.07; 39.78;
1984;43; 0.215;282.13; 35.24; 45.93; 40.59;
1984;44; 0.183;279.98; 33.08; 45.43; 39.26;
1984;45; 0.153;276.91; 28.82; 49.43; 39.12;
1984;46; 0.122;274.45; 22.26; 46.55; 34.40;
1984;47; 0.100;273.00; 19.96; 39.57; 29.77;
1984;48; 0.084;271.50; 18.86; 35.01; 26.93;
1984;49; 0.073;272.07; 18.12; 22.97; 20.55;
1984;50;-1.000; -1.00; -1.00; -1.00; -1.00;
1984;51;-1.000; -1.00; -1.00; -1.00; -1.00;
1984;52;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 1;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 2;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 3;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 4;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 5;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 6;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 7;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 8;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 9; 0.055;266.38;  7.51; 75.64; 41.57;
1985;10; 0.061;265.00;  5.16; 87.18; 46.17;
1985;11; 0.078;268.85;  5.79; 88.14; 46.96;
1985;12; 0.103;273.22;  8.10; 86.57; 47.34;
1985;13; 0.139;278.18; 12.59; 81.70; 47.14;
1985;14; 0.181;283.05; 17.15; 71.78; 44.46;
1985;15; 0.226;286.52; 23.18; 61.65; 42.41;
1985;16; 0.272;288.78; 30.12; 54.88; 42.50;
1985;17; 0.311;289.85; 32.32; 59.50; 45.91;
1985;18; 0.340;290.79; 31.29; 62.17; 46.73;
1985;19; 0.370;291.91; 32.25; 56.65; 44.45;
1985;20; 0.398;293.23; 35.64; 45.96; 40.80;
1985;21; 0.411;293.28; 33.63; 50.80; 42.21;
1985;22; 0.413;293.06; 28.40; 59.96; 44.18;
1985;23; 0.409;292.61; 23.82; 70.78; 47.30;
1985;24; 0.393;291.26; 16.21; 87.33; 51.77;
