year;week; SMN;SMT;VCI;TCI; VHI
1982; 1; 0.049;253.43; 34.11; 73.57; 53.84;
1982; 2; 0.048;255.28; 35.53; 67.63; 51.58;
1982; 3; 0.046;256.70; 35.12; 63.23; 49.17;
1982; 4; 0.042;258.39; 29.93; 58.99; 44.46;
1982; 5; 0.038;260.22; 24.55; 55.97; 40.26;
1982; 6; 0.038;261.73; 20.98; 54.60; 37.79;
1982; 7; 0.043;263.46; 20.93; 52.38; 36.65;
1982; 8; 0.049;265.71; 22.51; 49.77; 36.14;
1982; 9; 0.056;268.78; 24.00; 47.02; 35.51;
1982;10; 0.067;272.92; 26.17; 41.38; 33.77;
1982;11; 0.083;276.50; 28.42; 37.40; 32.91;
1982;12; 0.099;279.63; 29.48; 37.47; 33.47;
1982;13; 0.116;281.70; 27.89; 40.73; 34.31;
1982;14; 0.134;283.04; 23.78; 47.15; 35.47;
1982;15; 0.149;284.22; 17.07; 55.75; 36.41;
1982;16; 0.171;285.73; 12.09; 63.60; 37.85;
1982;17; 0.201;287.54;  8.79; 66.16; 37.47;
1982;18; 0.237;289.27;  8.55; 67.00; 37.77;
1982;19; 0.281;291.45; 10.96; 56.11; 33.54;
1982;20; 0.321;293.10; 13.03; 48.44; 30.74;
1982;21; 0.357;293.77; 14.26; 51.00; 32.63;
1982;22; 0.377;293.82; 12.67; 55.27; 33.97;
1982;23; 0.387;293.54; 11.88; 60.06; 35.97;
1982;24; 0.396;293.54; 12.79; 61.54; 37.17;
1982;25; 0.410;293.72; 17.22; 61.44; 39.33;
1982;26; 0.419;294.03; 19.94; 59.85; 39.90;
1982;27; 0.428;294.45; 24.68; 58.81; 41.74;
1982;28; 0.428;294.73; 28.66; 59.78; 44.22;
1982;29; 0.431;295.26; 37.08; 54.73; 45.90;
1982;30; 0.428;295.50; 40.63; 53.25; 46.94;
1982;31; 0.420;295.69; 37.61; 50.46; 44.03;
1982;32; 0.417;296.12; 39.70; 42.75; 41.22;
1982;33; 0.414;296.16; 42.62; 36.24; 39.43;
1982;34; 0.404;295.94; 42.82; 32.52; 37.67;
1982;35; 0.389;295.56; 43.21; 29.28; 36.25;
1982;36; 0.372;295.11; 45.26; 22.98; 34.12;
1982;37; 0.347;294.31; 43.63; 18.77; 31.20;
1982;38; 0.325;293.03; 40.94; 14.70; 27.82;
1982;39; 0.300;291.35; 36.53; 15.02; 25.78;
1982;40; 0.275;289.50; 31.68; 17.78; 24.73;
1982;41; 0.252;287.86; 30.17; 13.62; 21.89;
1982;42; 0.232;286.05; 33.17; 14.24; 23.71;
1982;43; 0.210;284.13; 38.21; 16.05; 27.13;
1982;44; 0.186;281.89; 41.67; 15.90; 28.79;
1982;45; 0.163;279.78; 44.69; 15.62; 30.16;
1982;46; 0.138;277.81; 45.32; 18.00; 31.66;
1982;47; 0.118;275.61; 46.18; 20.83; 33.50;
1982;48; 0.102;273.20; 46.77; 24.39; 35.58;
1982;49; 0.090;270.49; 45.75; 28.69; 37.22;
1982;50; 0.080;267.69; 45.00; 31.60; 38.30;
1982;51; 0.071;264.87; 44.96; 36.49; 40.73;
1982;52; 0.064;263.37; 43.39; 38.89; 41.14;
1983; 1; 0.060;263.44; 43.14; 37.01; 40.08;
1983; 2; 0.063;265.34; 47.23; 30.72; 38.98;
1983; 3; 0.069;267.99; 54.04; 22.33; 38.19;
1983; 4; 0.074;270.05; 56.69; 17.96; 37.32;
1983; 5; 0.079;271.05; 53.82; 19.45; 36.63;
1983; 6; 0.079;271.84; 47.35; 21.39; 34.37;
1983; 7; 0.082;273.48; 43.45; 20.21; 31.83;
1983; 8; 0.086;275.71; 42.27; 18.61; 30.44;
1983; 9; 0.092;277.06; 42.49; 20.70; 31.60;
1983;10; 0.102;278.66; 43.09; 22.89; 32.99;
1983;11; 0.113;280.02; 42.90; 25.47; 34.18;
1983;12; 0.130;281.39; 43.56; 31.89; 37.72;
1983;13; 0.150;282.49; 43.30; 39.59; 41.44;
1983;14; 0.175;283.67; 42.18; 46.85; 44.51;
1983;15; 0.207;285.37; 42.68; 50.58; 46.63;
1983;16; 0.245;287.18; 43.75; 53.40; 48.57;
1983;17; 0.285;288.81; 44.28; 56.10; 50.19;
1983;18; 0.331;290.40; 48.79; 56.31; 52.55;
1983;19; 0.373;291.39; 52.15; 57.11; 54.63;
1983;20; 0.405;292.87; 53.51; 51.21; 52.36;
1983;21; 0.425;293.85; 50.36; 50.48; 50.42;
1983;22; 0.437;294.09; 46.33; 52.60; 49.47;
1983;23; 0.441;294.00; 43.86; 55.29; 49.57;
1983;24; 0.430;293.42; 34.02; 62.89; 48.45;
1983;25; 0.425;293.43; 27.78; 64.90; 46.34;
1983;26; 0.423;293.57; 24.30; 65.84; 45.07;
1983;27; 0.418;293.50; 20.22; 71.73; 45.98;
1983;28; 0.402;293.13; 13.95; 81.69; 47.82;
1983;29; 0.389;292.70; 11.40; 89.19; 50.30;
1983;30; 0.380;292.63; 11.32; 91.15; 51.23;
1983;31; 0.390;292.94; 18.13; 88.11; 53.12;
1983;32; 0.398;293.35; 26.92; 81.71; 54.31;
1983;33; 0.406;293.92; 36.58; 68.16; 52.37;
1983;34; 0.411;294.21; 47.19; 56.60; 51.90;
