year;week; SMN;SMT;VCI;TCI; VHI
1982; 1; 0.072;257.72; 45.08; 62.43; 53.76;
1982; 2; 0.078;260.77; 54.96; 47.66; 51.31;
1982; 3; 0.081;263.04; 58.93; 38.59; 48.76;
1982; 4; 0.082;265.63; 56.45; 30.66; 43.55;
1982; 5; 0.081;267.39; 49.17; 30.19; 39.68;
1982; 6; 0.082;268.51; 43.61; 32.25; 37.93;
1982; 7; 0.085;270.11; 41.13; 30.67; 35.90;
1982; 8; 0.093;272.03; 42.47; 29.05; 35.76;
1982; 9; 0.101;273.82; 44.01; 28.74; 36.37;
1982;10; 0.110;275.51; 44.65; 30.39; 37.52;
1982;11; 0.121;277.18; 44.35; 30.73; 37.54;
1982;12; 0.132;278.92; 42.15; 37.18; 39.67;
1982;13; 0.142;280.59; 37.56; 42.82; 40.19;
1982;14; 0.153;282.32; 31.15; 47.29; 39.22;
1982;15; 0.162;283.63; 22.43; 57.48; 39.95;
1982;16; 0.181;285.07; 18.01; 66.22; 42.12;
1982;17; 0.208;286.80; 17.83; 70.40; 44.12;
1982;18; 0.244;288.39; 21.68; 69.80; 45.74;
1982;19; 0.290;290.11; 29.18; 65.36; 47.27;
1982;20; 0.339;291.59; 39.63; 59.87; 49.75;
1982;21; 0.374;292.15; 44.75; 60.73; 52.74;
1982;22; 0.397;292.48; 47.56; 59.93; 53.75;
1982;23; 0.407;292.60; 47.65; 59.67; 53.66;
1982;24; 0.404;292.41; 41.57; 62.68; 52.12;
1982;25; 0.397;292.07; 36.40; 68.83; 52.61;
1982;26; 0.391;292.08; 32.99; 70.73; 51.86;
1982;27; 0.390;292.51; 33.25; 67.74; 50.49;
1982;28; 0.392;293.07; 36.40; 64.38; 50.39;
1982;29; 0.396;293.72; 42.42; 60.92; 51.67;
1982;30; 0.395;294.35; 46.36; 56.68; 51.52;
1982;31; 0.387;294.67; 44.73; 51.42; 48.07;
1982;32; 0.375;294.52; 40.01; 51.63; 45.82;
1982;33; 0.369;294.43; 39.99; 49.43; 44.71;
1982;34; 0.362;294.43; 41.23; 42.16; 41.70;
