year;week; SMN;SMT;VCI;TCI; VHI
1982; 1; 0.045;256.14; 38.16; 59.56; 48.86;
1982; 2; 0.047;258.73; 42.77; 49.21; 45.99;
1982; 3; 0.045;260.22; 43.45; 43.66; 43.56;
1982; 4; 0.040;261.34; 37.44; 40.90; 39.17;
1982; 5; 0.037;262.58; 30.03; 41.23; 35.63;
1982; 6; 0.034;263.44; 24.62; 42.53; 33.58;
1982; 7; 0.035;264.11; 22.76; 43.67; 33.22;
1982; 8; 0.036;265.77; 22.47; 43.03; 32.75;
1982; 9; 0.038;267.76; 21.71; 43.94; 32.83;
1982;10; 0.041;270.23; 20.93; 44.02; 32.47;
1982;11; 0.049;273.32; 21.53; 40.52; 31.02;
1982;12; 0.063;276.54; 22.85; 39.17; 31.01;
1982;13; 0.077;279.11; 21.74; 40.57; 31.16;
1982;14; 0.092;281.11; 18.79; 43.87; 31.33;
1982;15; 0.103;282.34; 11.17; 54.34; 32.75;
1982;16; 0.123;284.06;  6.20; 65.02; 35.61;
1982;17; 0.152;286.32;  4.92; 69.49; 37.20;
1982;18; 0.187;288.71;  5.76; 66.26; 36.01;
1982;19; 0.232;291.01;  8.48; 59.01; 33.75;
1982;20; 0.274;292.51; 11.10; 55.91; 33.51;
1982;21; 0.314;293.13; 14.11; 58.30; 36.20;
1982;22; 0.341;293.22; 14.78; 62.38; 38.58;
1982;23; 0.353;292.80; 13.58; 68.91; 41.25;
1982;24; 0.357;292.56; 11.43; 72.77; 42.10;
1982;25; 0.368;292.47; 12.88; 74.92; 43.90;
1982;26; 0.378;292.66; 14.88; 74.31; 44.59;
1982;27; 0.387;293.17; 19.06; 70.13; 44.60;
1982;28; 0.390;293.71; 24.19; 65.44; 44.81;
1982;29; 0.397;294.38; 35.17; 59.12; 47.14;
1982;30; 0.399;294.98; 43.69; 52.02; 47.86;
1982;31; 0.390;295.38; 43.76; 46.66; 45.21;
1982;32; 0.380;295.58; 43.26; 42.72; 42.99;
1982;33; 0.373;295.57; 43.97; 39.08; 41.53;
1982;34; 0.367;295.56; 45.82; 35.14; 40.48;
1982;35; 0.355;295.23; 47.81; 32.29; 40.05;
1982;36; 0.337;294.64; 49.28; 26.56; 37.92;
1982;37; 0.314;293.70; 48.18; 22.44; 35.31;
1982;38; 0.293;292.27; 45.66; 21.63; 33.64;
1982;39; 0.270;290.53; 41.37; 22.87; 32.12;
1982;40; 0.246;288.58; 36.94; 24.01; 30.48;
1982;41; 0.223;286.89; 36.08; 18.06; 27.07;
1982;42; 0.205;285.21; 39.61; 16.43; 28.02;
1982;43; 0.183;283.44; 42.55; 15.11; 28.83;
1982;44; 0.160;281.41; 43.91; 13.73; 28.82;
1982;45; 0.135;279.16; 42.74; 13.60; 28.17;
1982;46; 0.113;277.20; 41.45; 14.05; 27.75;
1982;47; 0.096;275.18; 42.57; 15.63; 29.10;
1982;48; 0.083;272.89; 43.18; 18.99; 31.08;
1982;49; 0.073;270.76; 42.33; 21.83; 32.08;
1982;50; 0.064;268.64; 40.27; 23.52; 31.89;
1982;51; 0.058;266.02; 42.01; 27.49; 34.75;
1982;52; 0.053;264.14; 41.77; 30.92; 36.35;
1983; 1; 0.049;263.40; 41.81; 31.34; 36.58;
1983; 2; 0.050;264.47; 45.59; 26.92; 36.26;
1983; 3; 0.053;266.34; 52.42; 20.23; 36.33;
1983; 4; 0.057;267.99; 55.22; 16.94; 36.08;
1983; 5; 0.058;268.42; 48.95; 21.96; 35.45;
1983; 6; 0.055;268.86; 40.95; 25.64; 33.29;
1983; 7; 0.057;270.47; 38.63; 24.36; 31.50;
1983; 8; 0.058;271.50; 36.62; 26.06; 31.34;
1983; 9; 0.061;271.95; 35.80; 31.31; 33.56;
1983;10; 0.069;273.23; 36.50; 34.92; 35.71;
1983;11; 0.077;274.16; 35.93; 38.25; 37.09;
1983;12; 0.091;275.30; 36.85; 44.33; 40.59;
1983;13; 0.112;276.67; 38.07; 50.35; 44.21;
1983;14; 0.136;278.76; 38.35; 54.60; 46.48;
1983;15; 0.171;282.38; 41.28; 53.26; 47.27;
1983;16; 0.212;285.33; 45.20; 55.10; 50.15;
1983;17; 0.257;287.93; 50.03; 55.80; 52.92;
1983;18; 0.307;289.93; 56.40; 54.88; 55.64;
1983;19; 0.353;291.44; 60.71; 54.57; 57.64;
1983;20; 0.387;293.19; 62.65; 48.87; 55.76;
1983;21; 0.409;293.65; 61.01; 52.84; 56.93;
1983;22; 0.424;293.84; 58.28; 55.89; 57.09;
1983;23; 0.430;293.97; 55.44; 56.91; 56.17;
1983;24; 0.418;293.16; 45.05; 66.36; 55.71;
1983;25; 0.412;293.27; 38.22; 65.68; 51.95;
1983;26; 0.409;293.78; 33.44; 60.72; 47.08;
1983;27; 0.399;293.61; 26.41; 64.57; 45.49;
1983;28; 0.380;293.18; 18.18; 72.10; 45.14;
1983;29; 0.365;292.64; 15.73; 80.51; 48.12;
1983;30; 0.355;292.44; 17.78; 83.14; 50.46;
1983;31; 0.361;292.72; 26.56; 79.74; 53.15;
