year;week; SMN;SMT;VCI;TCI; VHI
1982; 1; 0.038;252.16; 46.81; 69.25; 58.03;
1982; 2; 0.035;253.31; 45.08; 63.66; 54.37;
1982; 3; 0.032;254.12; 40.84; 60.41; 50.63;
1982; 4; 0.030;255.48; 36.81; 58.22; 47.52;
1982; 5; 0.029;257.04; 32.00; 57.13; 44.57;
1982; 6; 0.027;258.01; 25.28; 57.23; 41.25;
1982; 7; 0.028;259.81; 21.09; 54.64; 37.87;
1982; 8; 0.033;262.76; 21.72; 49.61; 35.67;
1982; 9; 0.035;265.23; 20.88; 48.28; 34.58;
1982;10; 0.040;267.95; 20.76; 48.43; 34.59;
1982;11; 0.052;271.57; 24.45; 45.51; 34.98;
1982;12; 0.071;275.21; 31.16; 43.41; 37.28;
1982;13; 0.092;278.54; 36.63; 42.45; 39.54;
1982;14; 0.103;281.08; 35.85; 42.52; 39.18;
1982;15; 0.117;283.20; 34.14; 44.23; 39.19;
1982;16; 0.139;284.85; 33.69; 50.58; 42.14;
1982;17; 0.167;286.51; 32.99; 62.81; 47.90;
1982;18; 0.207;288.30; 36.06; 75.14; 55.60;
1982;19; 0.267;290.79; 44.49; 78.10; 61.30;
1982;20; 0.325;293.12; 52.78; 75.83; 64.31;
1982;21; 0.370;294.45; 59.33; 75.50; 67.41;
1982;22; 0.397;294.61; 60.49; 79.00; 69.74;
1982;23; 0.406;294.52; 56.84; 83.24; 70.04;
1982;24; 0.407;294.37; 50.71; 89.66; 70.19;
1982;25; 0.401;294.33; 44.27; 93.79; 69.03;
1982;26; 0.399;294.59; 43.52; 92.90; 68.21;
1982;27; 0.391;294.55; 41.21; 91.15; 66.18;
1982;28; 0.389;294.81; 44.20; 88.73; 66.47;
1982;29; 0.387;294.98; 47.84; 89.59; 68.71;
1982;30; 0.385;295.08; 52.53; 91.00; 71.77;
1982;31; 0.379;295.09; 56.39; 90.98; 73.69;
1982;32; 0.374;295.44; 60.77; 86.75; 73.76;
1982;33; 0.369;295.71; 65.07; 80.05; 72.56;
1982;34; 0.362;295.52; 68.53; 75.15; 71.84;
